,sensor14,sensor3,sensor9,sensor7,sensor11,sensor21,sensor15,sensor12,sensor4,RUL
0,8138.62,1589.7,9046.19,554.36,47.47,23.419,8.4195,521.66,1400.6,191
1,8131.49,1591.82,9044.07,553.75,47.49,23.4236,8.4318,522.28,1403.14,190
2,8133.23,1587.99,9052.94,554.26,47.27,23.3442,8.4178,522.42,1404.2,189
3,8133.83,1582.79,9049.48,554.45,47.13,23.3739,8.3682,522.86,1401.87,188
4,8133.8,1582.85,9055.15,554.0,47.28,23.4044,8.4294,522.19,1406.22,187
5,8132.85,1584.47,9049.68,554.67,47.16,23.3669,8.4108,521.68,1398.37,186
6,8132.32,1592.32,9059.13,554.34,47.36,23.3774,8.3974,522.32,1397.77,185
7,8131.07,1582.96,9040.8,553.85,47.24,23.3106,8.4076,522.47,1400.97,184
8,8125.69,1590.98,9046.46,553.69,47.29,23.4066,8.3728,521.79,1394.8,183
9,8129.38,1591.24,9051.7,553.59,47.03,23.4694,8.4286,521.79,1400.46,182
10,8140.58,1581.75,9049.61,554.54,47.15,23.4787,8.434,521.4,1400.64,181
11,8134.25,1583.41,9049.37,554.52,47.18,23.366,8.3938,521.8,1400.15,180
12,8128.1,1582.19,9046.82,553.44,47.38,23.2757,8.4152,521.85,1400.83,179
13,8134.43,1592.95,9047.37,554.48,47.44,23.3826,8.3964,521.67,1399.16,178
14,8127.56,1583.82,9052.22,553.64,47.3,23.35,8.4199,522.5,1402.13,177
15,8136.11,1587.98,9049.34,553.94,47.24,23.455,8.3936,521.49,1404.5,176
16,8137.27,1584.96,9054.92,553.8,47.12,23.3319,8.4542,521.89,1399.95,175
17,8132.73,1591.04,9049.55,554.2,47.21,23.3987,8.4028,521.76,1396.12,174
18,8129.13,1587.56,9053.99,554.18,47.4,23.3464,8.4321,521.89,1400.35,173
19,8129.71,1581.11,9045.9,554.81,47.22,23.422,8.421,522.07,1405.23,172
20,8134.02,1586.07,9048.15,554.08,47.15,23.3101,8.4049,522.42,1398.13,171
21,8130.41,1592.93,9061.21,553.63,47.24,23.3792,8.4034,522.0,1400.57,170
22,8127.9,1588.19,9046.28,553.98,47.25,23.4562,8.424,521.52,1394.75,169
23,8133.88,1590.83,9043.76,553.49,47.44,23.3696,8.3891,522.13,1398.81,168
24,8136.61,1594.1,9054.16,554.0,47.36,23.4288,8.3917,522.56,1399.39,167
25,8131.15,1589.08,9047.11,554.11,47.26,23.4149,8.426,522.28,1396.07,166
26,8134.6,1590.47,9047.96,554.07,47.37,23.4472,8.4046,522.0,1401.84,165
27,8127.3,1582.84,9049.84,554.68,47.41,23.2841,8.4323,522.57,1399.13,164
28,8133.06,1584.83,9050.47,554.25,47.24,23.3597,8.4189,522.41,1400.99,163
29,8137.86,1593.52,9045.62,554.37,47.4,23.411,8.4065,522.19,1396.08,162
30,8125.28,1584.18,9058.78,554.13,47.41,23.3353,8.4104,521.95,1396.9,161
31,8129.7,1591.38,9050.97,554.96,47.25,23.4999,8.4148,521.92,1400.36,160
32,8134.42,1588.4,9047.13,554.61,47.28,23.3506,8.3753,521.91,1402.43,159
33,8126.61,1581.47,9046.46,554.3,47.47,23.3092,8.4349,521.7,1400.48,158
34,8140.17,1590.0,9045.76,554.3,47.31,23.4164,8.443,521.75,1403.0,157
35,8132.48,1581.72,9044.56,554.53,47.25,23.4308,8.4246,522.32,1405.54,156
36,8131.95,1579.11,9055.44,554.63,47.29,23.4352,8.4142,522.29,1398.9,155
37,8136.61,1589.6,9055.27,554.7,47.27,23.4768,8.4158,522.42,1399.5,154
38,8131.81,1583.21,9051.76,553.97,47.12,23.3699,8.414,522.23,1400.69,153
39,8131.03,1582.08,9052.98,554.57,47.33,23.3769,8.3784,521.84,1401.77,152
40,8138.08,1591.31,9048.99,553.72,47.09,23.4444,8.437,522.07,1403.21,151
41,8130.88,1584.66,9057.06,553.94,47.49,23.375,8.4137,522.23,1401.38,150
42,8127.22,1591.52,9057.88,553.68,47.32,23.3148,8.4068,522.74,1406.05,149
43,8131.45,1586.94,9046.87,554.15,47.45,23.4753,8.4201,522.3,1401.2,148
44,8128.31,1582.42,9060.32,553.83,47.45,23.3943,8.4099,521.73,1399.16,147
45,8128.71,1588.29,9060.38,553.76,47.2,23.3745,8.3977,522.02,1401.27,146
46,8126.21,1580.32,9052.04,554.38,47.22,23.4873,8.3973,521.84,1402.89,145
47,8129.99,1588.51,9045.26,554.02,47.4,23.365,8.4376,521.91,1399.16,144
48,8135.48,1584.35,9050.64,554.23,47.22,23.4498,8.4151,521.37,1397.76,143
49,8127.3,1588.49,9048.6,553.92,47.47,23.4106,8.4116,522.33,1403.62,142
50,8134.36,1585.54,9047.09,553.73,47.12,23.3651,8.4504,521.91,1400.42,141
51,8132.82,1583.77,9056.01,553.04,47.07,23.3388,8.4539,522.1,1395.57,140
52,8134.38,1579.82,9051.15,554.16,47.29,23.3775,8.4418,521.96,1402.26,139
53,8129.95,1592.59,9056.29,553.95,47.38,23.2348,8.4189,522.44,1401.2,138
54,8134.1,1584.95,9048.94,554.45,47.4,23.3567,8.4071,522.11,1401.58,137
55,8135.4,1586.33,9042.42,553.98,47.26,23.3408,8.4022,522.48,1400.76,136
56,8135.48,1583.67,9050.8,553.42,47.29,23.3567,8.4263,521.62,1402.79,135
57,8132.08,1590.46,9050.33,554.14,47.26,23.2893,8.4319,522.21,1397.99,134
58,8128.81,1596.72,9050.06,554.62,47.26,23.4444,8.4476,521.32,1403.51,133
59,8132.89,1582.75,9051.69,554.0,47.41,23.387,8.3878,522.49,1403.07,132
60,8131.66,1583.55,9050.58,554.09,47.31,23.3638,8.4264,522.34,1405.52,131
61,8132.28,1581.59,9053.62,554.45,47.28,23.2707,8.4071,522.19,1399.54,130
62,8130.73,1592.14,9049.96,553.48,47.51,23.3436,8.4357,521.56,1395.38,129
63,8128.15,1584.51,9043.67,553.88,47.45,23.384,8.4066,521.82,1400.11,128
64,8132.94,1584.72,9044.01,553.97,47.56,23.3752,8.4406,521.54,1403.24,127
65,8128.32,1588.5,9059.45,554.0,47.14,23.3152,8.3911,521.76,1399.52,126
66,8134.07,1590.22,9050.24,554.31,47.39,23.291,8.3925,522.64,1403.02,125
67,8132.39,1582.06,9051.78,554.04,47.36,23.3174,8.4242,521.72,1404.42,124
68,8129.13,1590.7,9050.59,554.65,47.41,23.3742,8.4292,522.22,1401.24,123
69,8130.36,1584.02,9053.43,554.01,47.41,23.4513,8.4279,521.93,1402.78,122
70,8134.28,1580.41,9046.09,554.06,47.3,23.3881,8.423,521.72,1403.09,121
71,8133.95,1579.25,9054.42,553.76,47.27,23.3085,8.3951,521.97,1406.81,120
72,8129.85,1592.04,9049.64,553.88,47.29,23.3975,8.404,522.04,1397.93,119
73,8132.67,1584.65,9045.85,554.03,47.58,23.382,8.4135,522.25,1401.48,118
74,8130.13,1582.32,9042.32,553.6,47.22,23.3521,8.4621,521.77,1394.82,117
75,8136.44,1589.21,9056.55,553.66,47.44,23.4428,8.3996,521.58,1398.94,116
76,8135.25,1586.3,9046.44,554.61,47.41,23.275,8.453,521.6,1400.97,115
77,8133.91,1580.76,9042.37,553.47,47.4,23.3486,8.3793,522.28,1404.1,114
78,8135.4,1582.46,9047.86,553.77,47.35,23.3121,8.4132,521.85,1403.93,113
79,8134.66,1591.96,9043.67,553.91,47.64,23.3613,8.4235,521.52,1393.58,112
80,8128.87,1584.82,9045.31,553.88,47.43,23.373,8.4247,521.66,1402.04,111
81,8134.04,1589.07,9048.22,554.18,47.25,23.2713,8.3986,521.95,1399.17,110
82,8131.32,1588.05,9049.08,553.49,47.22,23.3274,8.4128,521.93,1406.38,109
83,8131.54,1585.52,9050.47,553.91,47.38,23.2653,8.4139,521.54,1406.6,108
84,8135.31,1590.12,9056.08,554.4,47.36,23.284,8.4499,522.3,1405.96,107
85,8130.06,1588.8,9047.26,553.69,47.38,23.3945,8.4173,521.82,1403.56,106
86,8130.41,1586.69,9050.52,554.1,47.34,23.3402,8.4326,521.43,1413.1,105
87,8131.47,1581.29,9046.73,554.48,47.46,23.3086,8.4586,522.2,1406.09,104
88,8135.15,1584.73,9055.24,553.91,47.46,23.3288,8.4489,521.55,1402.22,103
89,8129.72,1584.38,9051.27,552.88,47.32,23.4712,8.3961,521.49,1412.93,102
90,8134.4,1584.84,9050.72,553.54,47.32,23.3842,8.3949,521.55,1404.76,101
91,8131.39,1590.03,9048.36,553.81,47.45,23.3522,8.3982,521.91,1400.77,100
92,8133.15,1593.74,9047.87,554.07,47.46,23.2477,8.421,521.43,1408.48,99
93,8132.4,1583.27,9045.83,553.86,47.48,23.3758,8.4524,521.61,1404.94,98
94,8131.63,1577.6,9048.85,553.91,47.38,23.3269,8.4575,521.92,1410.1,97
95,8130.69,1584.07,9048.71,553.34,47.39,23.3255,8.4311,521.66,1395.16,96
96,8128.74,1595.77,9046.1,553.4,47.46,23.2963,8.4105,521.67,1407.81,95
97,8127.89,1591.11,9045.49,552.75,47.37,23.2554,8.4012,522.31,1404.56,94
98,8131.77,1592.73,9045.14,553.76,47.4,23.2323,8.4481,521.42,1406.13,93
99,8132.49,1589.63,9045.72,554.22,47.64,23.409,8.4241,521.55,1411.35,92
100,8125.97,1584.18,9052.3,553.37,47.62,23.4149,8.4353,521.89,1403.41,91
101,8130.4,1589.11,9051.36,553.42,47.49,23.3653,8.4561,521.38,1403.42,90
102,8124.4,1581.27,9053.28,553.64,47.57,23.4289,8.4263,521.41,1403.21,89
103,8131.89,1590.63,9044.73,553.66,47.34,23.3393,8.4021,522.38,1406.25,88
104,8134.01,1588.28,9048.36,553.11,47.31,23.3857,8.4326,521.81,1403.22,87
105,8126.38,1589.05,9049.82,553.6,47.44,23.4148,8.4664,521.51,1404.45,86
106,8132.4,1595.13,9048.68,553.74,47.35,23.4086,8.4241,521.75,1407.73,85
107,8131.52,1585.91,9047.03,554.43,47.61,23.3032,8.4133,521.52,1399.47,84
108,8130.97,1586.45,9051.13,553.59,47.58,23.3561,8.3757,521.62,1409.1,83
109,8127.16,1590.01,9051.4,554.08,47.55,23.2951,8.4638,522.01,1401.27,82
110,8132.4,1584.38,9051.64,553.49,47.62,23.2135,8.4447,521.53,1408.11,81
111,8131.52,1586.46,9051.28,553.19,47.22,23.3207,8.4445,521.9,1401.84,80
112,8129.32,1590.85,9053.15,552.91,47.46,23.3101,8.458,521.75,1406.59,79
113,8132.36,1588.42,9046.58,554.29,47.58,23.3754,8.429,521.68,1402.97,78
114,8127.6,1594.84,9050.37,554.13,47.43,23.3022,8.4345,521.36,1406.6,77
115,8134.46,1580.31,9049.71,554.4,47.43,23.3512,8.4059,521.6,1401.99,76
116,8126.12,1589.77,9049.61,554.59,47.52,23.1766,8.4256,521.22,1409.35,75
117,8135.21,1585.67,9051.12,554.25,47.55,23.2966,8.4197,521.31,1409.34,74
118,8123.85,1596.8,9045.89,553.77,47.55,23.3188,8.4194,521.46,1404.46,73
119,8125.57,1593.78,9048.72,553.66,47.6,23.3061,8.4029,521.34,1407.68,72
120,8133.94,1593.56,9040.97,553.7,47.44,23.422,8.4263,521.3,1411.9,71
121,8131.81,1593.68,9042.39,553.43,47.6,23.2793,8.4256,520.92,1413.97,70
122,8129.72,1586.66,9049.44,552.64,47.41,23.292,8.4396,521.6,1403.04,69
123,8133.82,1587.14,9053.03,552.26,47.55,23.2341,8.4416,521.4,1402.28,68
